List 1,List 2,List 3
6.405227982088607,"[list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])]) list([]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
6.644983425029633,"[list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5])]) list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
6.809345661549987,"[list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5])]) list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
6.809345661549987,"[list([]) list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])]) list([array([0.5])])
 list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
6.809345661549987,"[list([]) list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
6.809345661549987,"[list([]) list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
6.849415647977563,"[list([]) list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5])]) list([array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
6.977872629591507,"[list([]) list([array([0.5]), array([0.5])]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.091691021597321,"[list([array([0.5])]) list([array([0.5]), array([0.5])]) list([])
 list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.19386846605741,"[list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])]) list([]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.2865667575825475,"[list([array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.371396337657475,"[list([array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])]) list([array([0.5])])
 list([]) list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.449589184129197,"[list([array([0.5]), array([0.5])]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.449589184129197,"[list([array([0.5]), array([0.5])]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])]",[2 1 0 3 4]
7.449589184129197,"[list([array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])]",[2 1 0 3 4]
7.478050639018438,"[list([array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5])])]",[2 1 0 3 4]
7.520223368009602,"[list([array([0.5])]) list([array([0.5]), array([0.5]), array([0.5])])
 list([]) list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.579636605317983,"[list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.629227964069229,"[list([array([0.5])]) list([array([0.5]), array([0.5])]) list([])
 list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.695314455846821,"[list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.7672396417325595,"[list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5])]) list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.834336903443173,"[list([array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5])]) list([array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.864054881880746,"[list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])]) list([]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.897213813236096,"[list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])]) list([array([0.5])])
 list([])]",[2 1 0 3 4]
7.929308427108914,"[list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5])]) list([])]",[2 1 0 3 4]
7.968426245643049,"[list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])]) list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])]",[2 1 0 3 4]
7.968426245643049,"[list([array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.96842624570761,"[list([array([0.5]), array([0.5]), array([0.5]), array([0.5])]) list([])
 list([array([0.5])]) list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
7.971238701100449,"[list([array([0.5])]) list([])
 list([array([0.5]), array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5]), array([0.5])])
 list([array([0.5]), array([0.5])])]",[2 1 0 3 4]
