num_s: 13
num_e: 13
Iteration 1: LL: -44.74794196630024, ll_diff: inf
Iteration 2: LL: -44.12376276671321, ll_diff: 0.6241791995870258
Iteration 3: LL: -56.70391008232982, ll_diff: 12.580147315616607
Iteration 4: LL: -44.15054294073809, ll_diff: 12.553367141591728
Iteration 5: LL: -59.32171840365936, ll_diff: 15.17117546292127
Iteration 6: LL: -43.6443839391319, ll_diff: 15.677334464527462
Iteration 7: LL: -59.53150323321591, ll_diff: 15.887119294084009
Iteration 8: LL: -43.70455422087917, ll_diff: 15.82694901233674
Iteration 9: LL: -59.75044513478113, ll_diff: 16.045890913901964
Iteration 10: LL: -43.66795991083513, ll_diff: 16.082485223946
Iteration 11: LL: -59.4476108265532, ll_diff: 15.779650915718072
Iteration 12: LL: -43.701036569776065, ll_diff: 15.746574256777137
Iteration 13: LL: -59.7571328037565, ll_diff: 16.056096233980433
Iteration 14: LL: -43.66846087490073, ll_diff: 16.088671928855767
Iteration 15: LL: -59.44825809355746, ll_diff: 15.779797218656732
Iteration 16: LL: -43.700995236360164, ll_diff: 15.747262857197299
Iteration 17: LL: -59.757178929258664, ll_diff: 16.0561836928985
Iteration 18: LL: -43.66845925211763, ll_diff: 16.088719677141036
Iteration 19: LL: -59.448184914355295, ll_diff: 15.779725662237666
Iteration 20: LL: -43.700994750021614, ll_diff: 15.74719016433368
Iteration 21: LL: -59.75718113019369, ll_diff: 16.05618638017208
Iteration 22: LL: -43.66845960765449, ll_diff: 16.088721522539203
Iteration 23: LL: -59.44818804787659, ll_diff: 15.779728440222101
Iteration 24: LL: -43.70099474404771, ll_diff: 15.74719330382888
Iteration 25: LL: -59.757181074461535, ll_diff: 16.056186330413823
Iteration 26: LL: -43.668459593321124, ll_diff: 16.08872148114041
Iteration 27: LL: -59.44818788696436, ll_diff: 15.779728293643238
Iteration 28: LL: -43.70099474398686, ll_diff: 15.747193142977501
Iteration 29: LL: -59.757181077851776, ll_diff: 16.056186333864915
Iteration 30: LL: -43.66845959406938, ll_diff: 16.088721483782393
Iteration 31: LL: -59.44818789486065, ll_diff: 15.77972830079127
Iteration 32: LL: -43.70099474398563, ll_diff: 15.74719315087502
Iteration 33: LL: -59.75718107769145, ll_diff: 16.056186333705817
Iteration 34: LL: -43.66845959403281, ll_diff: 16.088721483658638
Iteration 35: LL: -59.44818789446896, ll_diff: 15.779728300436147
Iteration 36: LL: -43.70099474398564, ll_diff: 15.74719315048332
Iteration 37: LL: -59.75718107769947, ll_diff: 16.056186333713832
Iteration 38: LL: -43.668459594034616, ll_diff: 16.088721483664855
Iteration 39: LL: -59.44818789448834, ll_diff: 15.779728300453726
Iteration 40: LL: -43.70099474398563, ll_diff: 15.74719315050271
Iteration 41: LL: -59.75718107769907, ll_diff: 16.05618633371344
Iteration 42: LL: -43.66845959403453, ll_diff: 16.088721483664543
Iteration 43: LL: -59.44818789448739, ll_diff: 15.77972830045286
Iteration 44: LL: -43.70099474398564, ll_diff: 15.74719315050175
Iteration 45: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 46: LL: -43.66845959403454, ll_diff: 16.088721483664564
Iteration 47: LL: -59.448187894487425, ll_diff: 15.779728300452888
Iteration 48: LL: -43.70099474398564, ll_diff: 15.747193150501786
Iteration 49: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 50: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 51: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 52: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 53: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 54: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 55: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 56: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 57: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 58: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 59: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 60: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 61: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 62: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 63: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 64: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 65: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 66: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 67: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 68: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 69: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 70: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 71: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 72: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 73: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 74: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 75: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 76: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 77: LL: -59.7571810776991, ll_diff: 16.056186333713462
